API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
30015499030000,SHERPA 12 STATE COM,707H,SHERPA 12 STATE COM,EOG RESOURCES,EOG RESOURCES,EOG RESOURCES INC,EOG,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3099.00,KB EST,3076.00,19561.00,9220.00,GAS,COMPLETED,1,131061787,COM,331158,2022-09-28,2023-03-02,H,,,,9847.16,9597.16,2023-04-01,2023-04-01,1,2023-02-13,2023-03-02,,,,,,,,,,34006.50,1,61575.00,1,23744.00,1,204.0390,1,3.54,6.42,2.47,34006.50,61575.00,23744.00,168763.00,2593.29,0.2040,204.0390,61575.00,23744.00,168763.00,2593.29,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,12,25S,27E,NWNE,,,,,,,,TARGA MIDSTREAM SERVICES LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1502070,-104.1397920,32.1232393,-104.1425112
30015499020100,CHES RIDDLE COM,201H,CHES RIDDLE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,,3002.00,KB EST,2979.00,,,OIL,DUC,,,,,2023-02-02,,H,,,,5520.26,5270.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,02,24S,28E,NENE,,,,,,,,,,,,32.2534610,-104.0506750,32.2536539,-104.0328208
30015498330000,DARK CANYON 15 22 WCA STATE COM,007H,DARK CANYON 15 22 WCA STATE COM,EARTHSTONE OPERATING,EARTHSTONE,"EARTHSTONE OPERATING, LLC",ESTE,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3335.00,KB,3304.00,16290.00,8928.40,GAS,ACTIVE,1,131058904,COM,332535,2022-10-27,2023-01-11,H,,,,7373.53,7123.53,2023-03-01,2023-03-01,1,2023-01-02,2023-01-11,,,,,,,,,,32903.33,1,53474.00,1,23991.00,1,197.4200,1,4.62,7.51,3.37,32903.33,53474.00,23991.00,138348.00,2228.92,0.1974,197.4200,53474.00,23991.00,138348.00,2228.92,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,15,23S,26E,NWNE,,,,,,,,SHELL TRADING US COMPANY,"LUCID ENERGY DELAWARE, LLC",46.400000,,32.3114270,-104.2769740,32.2912419,-104.2748308
30015498280100,ACE STERN VEGAS FEE 22 21,114H,ACE STERN VEGAS FEE 22 21,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3095.50,KB,3067.00,17343.80,7251.50,OIL,ACTIVE,1,131058903,COM,328503,2022-09-28,2022-12-27,H,,,,10189.82,9939.82,2023-01-01,2023-04-01,4,2022-12-12,2022-12-27,,,,,,,,,,25927.50,4,84129.00,4,13499.00,3,155.5650,4,2.61,8.46,1.36,58348.17,168595.00,30249.00,304276.00,5573.57,0.3501,350.0890,84129.00,11906.00,83683.00,7066.10,3154.36,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,21,22S,28E,SWSW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3738913,-104.1001546,32.3727945,-104.0671769
30015498270000,CHICAGO 9 8 W2PM FEE,004H,CHICAGO 9 8 W2PM FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3039.00,KB EST,3016.00,20560.00,10484.00,GAS,ACTIVE,1,131058892,COM,333161,2022-11-18,2023-02-27,H,,,,5331.32,5081.32,2023-03-01,2023-04-01,2,2023-02-07,2023-02-27,,,,,,,,,,21866.33,2,91070.00,2,6688.00,2,131.1980,2,4.30,17.92,1.32,30184.66,126622.00,9081.00,97240.00,13943.62,0.1811,181.1080,91070.00,6688.00,46708.00,13616.93,13616.93,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,09,24S,28E,NESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.2295178,-104.1001261,32.2263358,-104.1169544
30015498260000,CHICAGO 9 8 W2PM FEE,003H,CHICAGO 9 8 W2PM FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3040.00,KB EST,3017.00,20371.00,10375.00,GAS,ACTIVE,1,131058898,COM,333161,2022-10-17,2023-02-27,H,,,,9915.78,9665.78,2023-03-01,2023-04-01,2,2023-02-07,2023-02-27,,,,,,,,,,20422.33,2,85088.00,2,6241.00,2,122.5340,2,2.11,8.80,0.65,29971.50,128811.00,8503.00,91774.00,15148.89,0.1798,179.8290,85088.00,6241.00,44839.00,13633.71,13633.71,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,09,24S,28E,NESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.2294080,-104.0848870,32.2290022,-104.1169481
30015498250000,CHICAGO 9 8 W2IL FEE,002H,CHICAGO 9 8 W2IL FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3036.00,KB EST,3016.00,20470.00,10444.00,GAS,ACTIVE,1,131058865,COM,333160,,2023-02-27,H,,,,9961.25,9711.25,2023-03-01,2023-04-01,2,2023-02-06,2023-02-27,,,,,,,,,,22237.50,2,91575.00,2,6975.00,2,133.4250,2,2.29,9.43,0.72,33142.50,138567.00,10048.00,91718.00,13790.51,0.1989,198.8550,91575.00,6975.00,40204.00,13129.03,13129.03,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,09,24S,28E,NESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.2294090,-104.0848220,32.2314762,-104.1169422
30015498220000,MICHAEL RYAN STATE COM,123H,MICHAEL RYAN STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3106.50,KB,3078.00,17100.00,8222.10,OIL,COMPLETED,1,131058875,COM,321387,2023-01-10,2023-02-20,H,,,,9153.08,8903.08,2023-03-01,2023-04-01,2,2023-02-13,2023-02-20,,,,,,,,,,35909.67,2,39052.00,2,29401.00,2,215.4580,2,4.03,4.39,3.30,39278.84,42371.00,32217.00,121682.00,1315.18,0.2357,235.6730,39052.00,29401.00,82306.00,1328.25,1328.25,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,16,22S,28E,SWSW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3871920,-104.1003000,32.3912063,-104.0710295
30015498100000,DARK CANYON 15 22 WCA STATE COM,006H,DARK CANYON 15 22 WCA STATE COM,EARTHSTONE OPERATING,EARTHSTONE,"EARTHSTONE OPERATING, LLC",ESTE,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3335.00,KB,3304.00,16246.00,8880.45,GAS,ACTIVE,1,131057301,COM,332535,2022-10-26,2023-03-01,H,,,,7395.23,7145.23,2023-03-01,2023-03-01,1,,,,,,,,,,,,26053.00,1,42948.00,1,18895.00,1,156.3180,1,3.65,6.01,2.64,26053.00,42948.00,18895.00,128656.00,2272.98,0.1563,156.3180,42948.00,18895.00,128656.00,2272.98,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,15,23S,26E,NWNE,,,,,,,,SHELL TRADING US COMPANY,"LUCID ENERGY DELAWARE, LLC",46.400000,,32.3113470,-104.2770000,32.2911064,-104.2791998
30015498090100,SALT FLAT CC 20 29 FEDERAL COM,011H,SALT FLAT CC 20 29 FEDERAL COM,OCCIDENTAL PETR,OCCIDENTAL PETROLEUM,OXY USA INC,OXY,PIERCE CROSSING,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,2960.60,KB,2935.00,18712.00,7666.00,OIL,ACTIVE,1,131057337,COM,321601,2022-09-07,2022-11-21,H,,,,10931.06,10681.06,2022-12-01,2023-04-01,5,2022-11-13,2022-11-21,,,,,,,,,,68878.33,2,157914.00,4,51292.00,2,413.2700,2,6.45,14.78,4.80,284215.83,578759.00,187756.00,39607.00,3082.51,1.7053,1705.2950,150622.00,30381.00,39607.00,4957.77,2057.20,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,17,24S,29E,SESW,,,,,8307.00000,18532.00000,10225.00,CENTURION PIPELINE L.P.,OXY USA INC,,,32.2115300,-104.0092890,32.1816559,-104.0130613
30015498050000,JOE HOLLINGSWORTH FEE,122H,JOE HOLLINGSWORTH FEE,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3101.50,KB,3072.00,17031.00,8230.50,OIL,COMPLETED,1,131056719,COM,331615,2022-09-02,2022-12-27,H,,,,9022.23,8772.23,2023-03-01,2023-04-01,2,2022-12-20,2022-12-27,,,,,,,,,,53782.17,2,68821.00,2,42312.00,2,322.6930,2,6.13,7.85,4.82,77181.67,100624.00,60411.00,105771.00,1665.66,0.4631,463.0900,68821.00,42312.00,60874.00,1626.51,1626.51,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,21,22S,28E,NWNW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3830370,-104.1000930,32.3803210,-104.0710447
30015498040000,JOE HOLLINGSWORTH FEE,121H,JOE HOLLINGSWORTH FEE,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3102.50,KB,3072.00,16976.00,8223.10,OIL,COMPLETED,1,131056715,COM,331615,2022-09-21,2022-12-27,H,,,,8976.41,8726.41,2023-03-01,2023-04-01,2,2022-12-20,2022-12-27,,,,,,,,,,48441.00,2,62604.00,2,38007.00,2,290.6460,2,5.55,7.17,4.36,60216.17,78913.00,47064.00,104077.00,1676.72,0.3613,361.2970,62604.00,38007.00,59855.00,1647.17,1647.17,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,21,22S,28E,NWNW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3831190,-104.1000940,32.3839494,-104.0710342
30015498030000,BARRY MILLER STATE COM,121H,BARRY MILLER STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3113.50,KB,3084.00,15575.00,8170.00,OIL,DUC,1,131056681,COM,333122,2022-10-10,2023-03-01,H,,,,7474.14,7224.14,2023-03-01,2023-04-01,2,,,,,,,,,,,,15566.83,2,16121.00,2,12880.00,2,93.4010,2,2.15,2.23,1.78,15940.50,16587.00,13176.00,74075.00,1258.88,0.0956,95.6430,16121.00,12880.00,53056.00,1251.63,1251.63,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,16,22S,28E,NWNW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3974180,-104.0999140,32.3984567,-104.0757310
30015498020100,ACE STERN VEGAS FEE 22 21,123H,ACE STERN VEGAS FEE 22 21,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3095.50,KB,3067.00,18340.40,8207.70,OIL,ACTIVE,1,131056701,COM,328503,2022-10-16,2022-12-27,H,,,,10218.08,9968.08,2023-01-01,2023-04-01,4,2022-12-12,2022-12-27,,,,,,,,,,43194.50,3,67371.00,4,33574.00,3,259.1670,3,4.33,6.76,3.37,130050.50,184419.00,99314.00,192121.00,1856.93,0.7803,780.3030,67371.00,29864.00,55527.00,2255.93,1631.81,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,21,22S,28E,SWSW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3741111,-104.1001544,32.3764225,-104.0671714
30015498010000,BARRY MILLER STATE COM,122H,BARRY MILLER STATE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3113.50,KB,3084.00,15700.00,8170.00,OIL,DUC,1,131056678,COM,333122,2022-10-11,2023-03-01,H,,,,7535.76,7285.76,2023-03-01,2023-04-01,2,,,,,,,,,,,,34040.00,2,34056.00,2,28364.00,2,204.2400,2,4.67,4.67,3.89,34998.33,35000.00,29165.00,105412.00,1200.07,0.2100,209.9900,34056.00,28364.00,86629.00,1200.68,1200.68,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,16,22S,28E,NWNW,,,,,,,,"PLAINS MARKETING, L.P.",BP AMERICA INC,,,32.3974180,-104.0998170,32.3948280,-104.0755955
30015497910000,SALT DRAW 2 W2DM FEE,001H,SALT DRAW 2 W2DM FEE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3002.00,KB EST,2979.00,15542.00,10507.00,GAS,ACTIVE,1,131056677,COM,333096,2022-11-29,2023-03-05,H,,,,5128.42,4878.42,2023-03-01,2023-04-01,2,2023-02-27,2023-03-05,,,,,,,,,,17962.50,2,57129.00,2,8441.00,2,107.7750,2,3.68,11.71,1.73,31818.83,99491.00,15237.00,63050.00,6529.57,0.1909,190.9130,57129.00,8441.00,28947.00,6768.04,6768.04,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,35,24S,28E,SWSW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.1672680,-104.0633360,32.1531794,-104.0638868
